id,AZ,non,non,non,EL,non,non,non,non;;;;;
4037771705,-54.3053554453337,0,0,0;;;4037771462,-65.3793794711406,0,0,0;;
4037771705,-54.2138793532399,0,0,0;;;4037771462,-65.2288278247912,0,0,0;;
4037771705,-54.1128815392015,0,0,0;;;4037771462,-65.0609524877219,0,0,0;;
4037771705,-53.989360202056,0,0,0;;;4037771462,-64.8746949629354,0,0,0;;
4037771705,-53.8669771984183,0,0,0;;;4037771462,-64.6622280112472,0,0,0;;
4037771705,-53.7315874322608,0,0,0;;;4037771462,-64.449705353429,0,0,0;;
4037771705,-53.6121821917213,0,0,0;;;4037771462,-64.2481015615363,0,0,0;;
4037771705,-53.4954524176343,0,0,0;;;4037771462,-64.0372059064148,0,0,0;;
4037771705,-53.3968040696216,0,0,0;;;4037771462,-63.8103772857281,0,0,0;;
4037771705,-53.2982308872034,0,0,0;;;4037771462,-63.6081760660141,0,0,0;;
4037771705,-53.2200282537393,0,0,0;;;4037771462,-63.4024910472441,0,0,0;;
4037771705,-53.1436937854049,0,0,0;;;4037771462,-63.1953981116308,0,0,0;;
4037771705,-53.0733632548446,0,0,0;;;4037771462,-62.9733980115341,0,0,0;;
4037771705,-52.9972271962803,0,0,0;;;4037771462,-62.7679556140863,0,0,0;;
4037771705,-52.9225894155465,0,0,0;;;4037771462,-62.573684753245,0,0,0;;
4037771705,-52.834645616284,0,0,0;;;4037771462,-62.3796229669571,0,0,0;;
4037771705,-52.7437820898011,0,0,0;;;4037771462,-62.1889239892196,0,0,0;;
4037771705,-52.6318359016851,0,0,0;;;4037771462,-62.0154417315027,0,0,0;;
4037771705,-52.5202247370218,0,0,0;;;4037771462,-61.8531696247616,0,0,0;;
4037771705,-52.3922640027801,0,0,0;;;4037771462,-61.6905555785837,0,0,0;;
4037771705,-52.2720170741439,0,0,0;;;4037771462,-61.514660353892,0,0,0;;
4037771705,-52.1418627156012,0,0,0;;;4037771462,-61.3556123977918,0,0,0;;
4037771705,-52.0263134426087,0,0,0;;;4037771462,-61.2007961714789,0,0,0;;
4037771705,-51.9100468707995,0,0,0;;;4037771462,-61.0542773942417,0,0,0;;
4037771705,-51.8161855747602,0,0,0;;;4037771462,-60.9041266499491,0,0,0;;
4037771705,-51.7255807816276,0,0,0;;;4037771462,-60.7719957336206,0,0,0;;
4037771705,-51.6501569858409,0,0,0;;;4037771462,-60.648462480373,0,0,0;;
4037771705,-51.5767505180589,0,0,0;;;4037771462,-60.5313775527154,0,0,0;;
4037771705,-51.5111333783739,0,0,0;;;4037771462,-60.4027900724428,0,0,0;;
4037771705,-51.4413246641092,0,0,0;;;4037771462,-60.2882433537482,0,0,0;;
4037771705,-51.373090701219,0,0,0;;;4037771462,-60.1717054084742,0,0,0;;
4037771705,-51.2925795886875,0,0,0;;;4037771462,-60.0661636950278,0,0,0;;
4037771705,-51.2090601722361,0,0,0;;;4037771462,-59.9596803518449,0,0,0;;
4037771705,-51.1079841521376,0,0,0;;;4037771462,-59.8627142910406,0,0,0;;
4037771705,-51.00904719524,0,0,0;;;4037771462,-59.7718046088301,0,0,0;;
4037771705,-50.8984410692844,0,0,0;;;4037771462,-59.6903962901531,0,0,0;;
4037771705,-50.7963688834421,0,0,0;;;4037771462,-59.6025674228157,0,0,0;;
4037771705,-50.6875393744507,0,0,0;;;4037771462,-59.5262773847055,0,0,0;;
4037771705,-50.5951139516293,0,0,0;;;4037771462,-59.4495302084002,0,0,0;;
4037771705,-50.5024526254046,0,0,0;;;4037771462,-59.3834647552751,0,0,0;;
4037771705,-50.4291315318241,0,0,0;;;4037771462,-59.3158471438177,0,0,0;;
4037771705,-50.3573866129612,0,0,0;;;4037771462,-59.2540753876973,0,0,0;;
4037771705,-50.297017737334,0,0,0;;;4037771462,-59.1966287150105,0,0,0;;
4037771705,-50.2371772195671,0,0,0;;;4037771462,-59.1383230071472,0,0,0;;
4037771705,-50.1828497024073,0,0,0;;;4037771462,-59.0820949852031,0,0,0;;
4037771705,-50.1197104802736,0,0,0;;;4037771462,-59.0381370298737,0,0,0;;
4037771705,-50.0560972085665,0,0,0;;;4037771462,-58.9902971365025,0,0,0;;
4037771705,-49.9807940528653,0,0,0;;;4037771462,-58.9514879552127,0,0,0;;
4037771705,-49.9059231412167,0,0,0;;;4037771462,-58.9110445268381,0,0,0;;
4037771705,-49.8164109970789,0,0,0;;;4037771462,-58.8811351335777,0,0,0;;
4037771705,-49.7294444533404,0,0,0;;;4037771462,-58.8540202631681,0,0,0;;
4037771705,-49.6340105607468,0,0,0;;;4037771462,-58.8304199259893,0,0,0;;
4037771705,-49.5483781684004,0,0,0;;;4037771462,-58.807627385304,0,0,0;;
4037771705,-49.456943936283,0,0,0;;;4037771462,-58.7938022658106,0,0,0;;
4037771705,-49.3781888511948,0,0,0;;;4037771462,-58.7822239477512,0,0,0;;
4037771705,-49.3010939051442,0,0,0;;;4037771462,-58.7719944390753,0,0,0;;
4037771705,-49.2362636548631,0,0,0;;;4037771462,-58.7660698008182,0,0,0;;
4037771705,-49.1712222306622,0,0,0;;;4037771462,-58.7611850146833,0,0,0;;
4037771705,-49.114168048155,0,0,0;;;4037771462,-58.7604451351607,0,0,0;;
4037771705,-49.0538309615094,0,0,0;;;4037771462,-58.7625169566658,0,0,0;;
4037771705,-48.9973949793514,0,0,0;;;4037771462,-58.7657736749601,0,0,0;;
4037771705,-48.9357936933389,0,0,0;;;4037771462,-58.7730316663828,0,0,0;;
4037771705,-48.8745784846586,0,0,0;;;4037771462,-58.7869721600141,0,0,0;;
4037771705,-48.8039384974442,0,0,0;;;4037771462,-58.7995972177137,0,0,0;;
4037771705,-48.7336805213876,0,0,0;;;4037771462,-58.8223686686354,0,0,0;;
4037771705,-48.6534173581149,0,0,0;;;4037771462,-58.849982748759,0,0,0;;
4037771705,-48.5782703381818,0,0,0;;;4037771462,-58.8754354846757,0,0,0;;
4037771705,-48.4959505467965,0,0,0;;;4037771462,-58.9035199106701,0,0,0;;
4037771705,-48.4240510317146,0,0,0;;;4037771462,-58.93637509132,0,0,0;;
4037771705,-48.3494612389158,0,0,0;;;4037771462,-58.9714772842151,0,0,0;;
4037771705,-48.2857144253527,0,0,0;;;4037771462,-59.0073308328901,0,0,0;;
4037771705,-48.2219007267435,0,0,0;;;4037771462,-59.0509797617593,0,0,0;;
4037771705,-48.1681396844287,0,0,0;;;4037771462,-59.0887002247899,0,0,0;;
4037771705,-48.1147968142458,0,0,0;;;4037771462,-59.1440432059301,0,0,0;;
4037771705,-48.0676060649149,0,0,0;;;4037771462,-59.1980291379143,0,0,0;;
4037771705,-48.0185507550783,0,0,0;;;4037771462,-59.2540753876973,0,0,0;;
4037771705,-47.9736856343135,0,0,0;;;4037771462,-59.3119045317531,0,0,0;;
