id,AZ,non,non,non,EL,non,non,non,non;;;
4037771562,-79.9169779055426,0,0,0;;;4037771400,-81.2478905553776,0,0,0
4037771562,-79.9244012145662,0,0,0;;;4037771400,-81.4028589149117,0,0,0
4037771562,-80.0666630569595,0,0,0;;;4037771400,-81.3379524299324,0,0,0
4037771562,-80.2330693665916,0,0,0;;;4037771400,-81.3624156872972,0,0,0
4037771562,-80.6011484120773,0,0,0;;;4037771400,-81.512125992041,0,0,0
4037771562,-81.4435320003494,0,0,0;;;4037771400,-81.7213452699268,0,0,0
4037771562,-82.2445211574261,0,0,0;;;4037771400,-81.903461971355,0,0,0
4037771562,-83.5806281307207,0,0,0;;;4037771400,-82.6309066983367,0,0,0
4037771562,-85.2375329581091,0,0,0;;;4037771400,-82.9174110775228,0,0,0
4037771562,-87.2148981892761,0,0,0;;;4037771400,-83.0441512721321,0,0,0
4037771562,-90.0649857155486,0,0,0;;;4037771400,-83.741215354565,0,0,0
4037771562,-92.6819103936225,0,0,0;;;4037771400,-84.3943164000357,0,0,0
4037771562,-91.2114803094854,0,0,0;;;4037771400,-85.0651617336422,0,0,0
4037771562,-88.82176238686,0,0,0;;;4037771400,-85.9863217349897,0,0,0
4037771562,-86.781771184378,0,0,0;;;4037771400,-86.4707483546061,0,0,0
4037771562,-85.1942855146962,0,0,0;;;4037771400,-86.9125215168422,0,0,0
4037771562,-84.0812601524822,0,0,0;;;4037771400,-87.3320086168674,0,0,0
4037771562,-83.5919489399324,0,0,0;;;4037771400,-87.4910423305316,0,0,0
4037771562,-83.1736039916671,0,0,0;;;4037771400,-87.1758344422245,0,0,0
4037771562,-83.1090712364657,0,0,0;;;4037771400,-86.7556003826601,0,0,0
4037771562,-83.2114707077339,0,0,0;;;4037771400,-86.7878350495179,0,0,0
4037771562,-83.2132780089551,0,0,0;;;4037771400,-86.7021403607629,0,0,0
4037771562,-83.6945057322297,0,0,0;;;4037771400,-87.1477383813752,0,0,0
4037771562,-84.1978915145413,0,0,0;;;4037771400,-87.1927358056985,0,0,0
4037771562,-85.2695378515204,0,0,0;;;4037771400,-87.4531889131637,0,0,0
4037771562,-86.0677829419055,0,0,0;;;4037771400,-88.023550631667,0,0,0
4037771562,-87.4471938895515,0,0,0;;;4037771400,-88.1643045341002,0,0,0
4037771562,-89.0735956311922,0,0,0;;;4037771400,-88.8736167134746,0,0,0
4037771562,-90.426442346751,0,0,0;;;4037771400,-89.6572725311915,0,0,0
4037771562,-88.6985319348706,0,0,0;;;4037771400,-90.3833071243805,0,0,0
4037771562,-87.2695085290373,0,0,0;;;4037771400,-90.8088235350385,0,0,0
4037771562,-85.8741206700488,0,0,0;;;4037771400,-90.7789457525236,0,0,0
4037771562,-84.4463700772418,0,0,0;;;4037771400,-89.6497863082432,0,0,0
4037771562,-83.2386197910104,0,0,0;;;4037771400,-88.4593677393512,0,0,0
4037771562,-82.1800914534673,0,0,0;;;4037771400,-87.2238073139607,0,0,0
4037771562,-81.5249998435073,0,0,0;;;4037771400,-85.7754064323318,0,0,0
4037771562,-80.8426459446217,0,0,0;;;4037771400,-84.6283008775897,0,0,0
4037771562,-80.3401764792286,0,0,0;;;4037771400,-83.7090593675237,0,0,0
4037771562,-80.0767343845759,0,0,0;;;4037771400,-82.625905226238,0,0,0
4037771562,-79.9566424009304,0,0,0;;;4037771400,-81.7952489267929,0,0,0
4037771562,-79.9231635557385,0,0,0;;;4037771400,-81.3797254456885,0,0,0
4037771562,-79.9491914979317,0,0,0;;;4037771400,-80.7719460360916,0,0,0
4037771562,-80.1564568334018,0,0,0;;;4037771400,-80.0762378838675,0,0,0
4037771562,-80.4565129328399,0,0,0;;;4037771400,-79.6376408369208,0,0,0
4037771562,-80.7795902075296,0,0,0;;;4037771400,-79.1808073208028,0,0,0
4037771562,-81.4229161637775,0,0,0;;;4037771400,-78.9212934757486,0,0,0
4037771562,-82.0352702244632,0,0,0;;;4037771400,-78.6978913564626,0,0,0
4037771562,-82.5204693832512,0,0,0;;;4037771400,-78.4100559619537,0,0,0
4037771562,-82.3879715959573,0,0,0;;;4037771400,-78.2756960516799,0,0,0
4037771562,-82.1720712408586,0,0,0;;;4037771400,-78.2353878889045,0,0,0
4037771562,-81.5116163437283,0,0,0;;;4037771400,-78.0444706028577,0,0,0
4037771562,-80.7782245016088,0,0,0;;;4037771400,-78.0189368481828,0,0,0
4037771562,-80.1615433657999,0,0,0;;;4037771400,-77.9758961447545,0,0,0
4037771562,-79.4569619151915,0,0,0;;;4037771400,-77.9427828851965,0,0,0
4037771562,-79.0457797548774,0,0,0;;;4037771400,-78.0130550875801,0,0,0
4037771562,-78.6563942269174,0,0,0;;;4037771400,-78.1593139237912,0,0,0
4037771562,-78.345419085513,0,0,0;;;4037771400,-78.4080046211783,0,0,0
4037771562,-78.0891705702545,0,0,0;;;4037771400,-78.5538242667614,0,0,0
4037771562,-78.0811582183338,0,0,0;;;4037771400,-78.8379204219969,0,0,0
4037771562,-78.1424399053287,0,0,0;;;4037771400,-79.170724383163,0,0,0
4037771562,-78.1676807973155,0,0,0;;;4037771400,-79.4888701084576,0,0,0
4037771562,-78.2367094426772,0,0,0;;;4037771400,-79.9271572531122,0,0,0
4037771562,-78.4158806106467,0,0,0;;;4037771400,-80.3848771358146,0,0,0
